[2014-08-19 21:10:44] EDIT taratorka/controllers/default.py: 0
[2014-08-19 21:10:51] EDIT taratorka/controllers/default.py: 0
[2014-08-19 21:10:51] EDIT taratorka/controllers/default.py: 0
[2014-08-19 21:12:28] EDIT taratorka/controllers/default.py: 0
[2014-08-19 21:12:29] EDIT taratorka/controllers/default.py: 0
[2014-08-19 21:16:01] EDIT taratorka/controllers/default.py: 0
[2014-08-19 22:10:59] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:19:17] EDIT taratorka/controllers/default.py: 3
[2014-08-19 22:19:17] EDIT taratorka/controllers/default.py: 0
[2014-08-19 22:36:51] EDIT taratorka/views/default/chat_hannels_manage.html: 6
[2014-08-19 22:40:00] EDIT taratorka/views/default/chat_hannels_manage.html: 2
[2014-08-19 22:44:06] EDIT taratorka/controllers/default.py: 1
[2014-08-19 22:47:10] EDIT taratorka/views/default/chat_hannels_manage.html: -3
[2014-08-19 22:47:59] EDIT taratorka/controllers/default.py: 0
[2014-08-19 22:48:36] EDIT taratorka/views/default/chat_hannels_manage.html: 3
[2014-08-19 22:50:26] EDIT taratorka/views/default/chat_hannels_manage.html: -2
[2014-08-19 22:50:49] EDIT taratorka/views/default/chat_hannels_manage.html: 1
[2014-08-19 22:51:13] EDIT taratorka/views/default/chat_hannels_manage.html: 1
[2014-08-19 22:51:13] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:51:13] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:51:18] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:51:26] EDIT taratorka/controllers/default.py: 0
[2014-08-19 22:51:28] EDIT taratorka/controllers/default.py: 0
[2014-08-19 22:51:53] EDIT taratorka/views/default/chat_hannels_manage.html: -3
[2014-08-19 22:51:54] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:51:54] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:52:45] EDIT taratorka/views/default/chat_hannels_manage.html: 3
[2014-08-19 22:52:45] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:52:46] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:52:46] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:53:04] EDIT taratorka/controllers/default.py: 0
[2014-08-19 22:54:47] EDIT taratorka/views/default/chat_hannels_manage.html: -1
[2014-08-19 22:55:10] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:55:11] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:55:11] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:55:11] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:55:11] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:55:11] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:56:54] EDIT taratorka/views/default/chat_hannels_manage.html: -8
[2014-08-19 22:56:54] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:56:54] EDIT taratorka/views/default/chat_hannels_manage.html: 0
[2014-08-19 22:57:54] EDIT taratorka/controllers/default.py: 0
[2014-08-19 23:00:35] EDIT taratorka/controllers/default.py: 0
[2014-08-19 23:04:36] EDIT taratorka/views/default/index.html: 0
[2014-08-19 23:04:36] EDIT taratorka/views/default/index.html: 0
[2014-08-19 23:04:36] EDIT taratorka/views/default/index.html: 0
[2014-08-19 23:07:39] EDIT taratorka/controllers/default.py: 0
[2014-08-19 23:08:11] EDIT taratorka/controllers/default.py: 0
[2014-08-19 23:09:01] EDIT taratorka/controllers/default.py: -2
[2014-08-20 00:14:24] EDIT taratorka/controllers/default.py: 0
[2014-08-20 00:15:16] EDIT taratorka/views/default/chat_channels_manage.html: 9
[2014-08-20 00:18:08] EDIT taratorka/views/default/chat_channels_manage.html: 4
[2014-08-20 00:21:19] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:23:45] EDIT taratorka/controllers/default.py: -9
[2014-08-20 00:25:23] EDIT taratorka/controllers/default.py: 0
[2014-08-20 00:25:23] EDIT taratorka/controllers/default.py: 0
[2014-08-20 00:25:50] EDIT taratorka/controllers/default.py: 0
[2014-08-20 00:27:02] EDIT taratorka/controllers/default.py: 0
[2014-08-20 00:28:07] EDIT taratorka/controllers/default.py: 0
[2014-08-20 00:30:30] EDIT taratorka/controllers/default.py: -1
[2014-08-20 00:31:16] EDIT taratorka/controllers/default.py: 0
[2014-08-20 00:37:52] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:38:12] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:38:18] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:38:45] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:38:52] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:38:52] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:38:53] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:38:53] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:38:53] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:38:53] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:41:30] EDIT taratorka/views/default/chat_channels_manage.html: 0
[2014-08-20 00:48:39] EDIT taratorka/controllers/default.py: 3
[2014-08-20 00:51:11] EDIT taratorka/controllers/default.py: 3
[2014-08-20 00:51:52] EDIT taratorka/models/menu.py: -1
[2014-08-20 00:54:48] EDIT taratorka/controllers/default.py: 0
[2014-08-20 00:56:10] EDIT taratorka/controllers/default.py: 0
[2014-08-21 13:01:05] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:02:13] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:02:14] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:02:14] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:02:14] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:03:29] EDIT taratorka/views/default/posts_manage.html: 2
[2014-08-21 13:03:30] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:03:30] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:03:30] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:04:14] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:05:08] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 13:16:56] CREATE input_post.py: 0
[2014-08-21 13:17:35] CREATE read_post.py: 0
[2014-08-21 13:17:45] CREATE read_post.py: 0
[2014-08-21 14:05:01] EDIT taratorka/controllers/default.py: 13
[2014-08-21 14:23:01] EDIT taratorka/controllers/default.py: 0
[2014-08-21 14:25:12] EDIT taratorka/controllers/default.py: 1
[2014-08-21 14:25:14] EDIT taratorka/controllers/default.py: 0
[2014-08-21 14:25:52] EDIT taratorka/controllers/default.py: 0
[2014-08-21 14:27:07] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:27:07] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:27:20] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:36:55] EDIT taratorka/views/default/posts_manage.html: 6
[2014-08-21 14:37:34] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:37:35] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:45:31] EDIT taratorka/views/default/posts_manage.html: 1
[2014-08-21 14:53:12] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:53:13] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:53:13] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:53:13] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:53:14] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:53:14] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:53:14] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:53:50] EDIT taratorka/controllers/default.py: 1
[2014-08-21 14:54:33] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:54:42] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 14:57:08] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:03:13] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:03:13] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:03:37] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:04:26] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:06:51] EDIT taratorka/controllers/default.py: 0
[2014-08-21 15:07:09] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:07:14] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:08:39] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:08:45] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:09:08] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:09:27] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:11:23] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:11:54] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:13:11] EDIT taratorka/controllers/default.py: 1
[2014-08-21 15:14:10] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:18:11] EDIT taratorka/views/default/posts_manage.html: 4
[2014-08-21 15:18:47] EDIT taratorka/controllers/default.py: 3
[2014-08-21 15:19:47] EDIT taratorka/controllers/default.py: 1
[2014-08-21 15:23:29] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:28:00] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:29:09] EDIT taratorka/controllers/default.py: 1
[2014-08-21 15:31:07] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:31:32] EDIT taratorka/controllers/default.py: -1
[2014-08-21 15:31:37] EDIT taratorka/controllers/default.py: 0
[2014-08-21 15:33:26] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:33:33] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:34:06] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:34:54] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:35:44] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:36:15] EDIT taratorka/views/default/posts_manage.html: 0
[2014-08-21 15:38:54] EDIT taratorka/controllers/default.py: 0
[2014-08-21 15:43:09] EDIT taratorka/views/default/posts_manage.html: -1
